Col1,Col2,Col3,Col4,Col5
77.7091,0.00252344,,-0.00252344,0.0109215
77.8182,0.00251724,,-0.00251724,0.0109215
77.9247,0.00251342,,-0.00251342,0.0109215
78.0338,0.00251485,,-0.00251485,0.0109215
78.1506,0.00252821,,-0.00252821,0.0109215
78.2623,0.00253631,,-0.00253631,0.0109215
78.3662,0.00254633,,-0.00254633,0.0109215
78.4753,0.00254823,,-0.00254823,0.0109215
78.5844,0.00254156,,-0.00254156,0.0109215
78.6935,0.00254919,,-0.00254919,0.0109215
78.7974,0.0025468,,-0.0025468,0.0109215
78.9117,0.00255634,,-0.00255634,0.0109215
79.0156,0.00256397,,-0.00256397,0.0109215
79.1247,0.00255729,,-0.00255729,0.0109215
79.2286,0.00254823,,-0.00254823,0.0109215
79.3377,0.00255062,,-0.00255062,0.0109215
79.4494,0.00255062,,-0.00255062,0.0109215
79.5532,0.00255729,,-0.00255729,0.0109215
79.6701,0.00255586,,-0.00255586,0.0109215
79.7766,0.00256111,,-0.00256111,0.0109215
79.8831,0.00256397,,-0.00256397,0.0109215
79.9844,0.00257064,,-0.00257064,0.0109215
80.0883,0.00256731,,-0.00256731,0.0109215
80.1922,0.00256778,,-0.00256778,0.0109215
80.2935,0.00256158,,-0.00256158,0.0109215
80.4026,0.00255634,,-0.00255634,0.0109215
80.5091,0.00254966,,-0.00254966,0.0109215
80.613,0.00255157,,-0.00255157,0.0109215
80.7455,0.00254489,,-0.00254489,0.0109215
80.8494,0.00254394,,-0.00254394,0.0109215
80.9818,0.00254585,,-0.00254585,0.0109215
81.0831,0.00254728,,-0.00254728,0.0109215
81.2182,0.00254919,,-0.00254919,0.0109215
81.3195,0.00255586,,-0.00255586,0.0109215
81.4208,0.00256063,,-0.00256063,0.0109215
81.5221,0.00256778,,-0.00256778,0.0109215
81.6234,0.00256063,,-0.00256063,0.0109215
81.7247,0.00254823,,-0.00254823,0.0109215
81.8597,0.00253965,,-0.00253965,0.0109215
81.961,0.00254013,,-0.00254013,0.0109215
82.0935,0.00255157,,-0.00255157,0.0109215
82.1948,0.00253774,,-0.00253774,0.0109215
82.3247,0.00253727,,-0.00253727,0.0109215
82.4623,0.00254633,,-0.00254633,0.0109215
82.5922,0.00254203,,-0.00254203,0.0109215
82.7273,0.00254776,,-0.00254776,0.0109215
82.8286,0.00254823,,-0.00254823,0.0109215
82.9584,0.00254823,,-0.00254823,0.0109215
83.0805,0.00256588,,-0.00256588,0.0109215
